ICAO Code,AIPName,Type,Certification,Longitude,Latitude,Coords,Service,FlightRules,CommonName,Military,LandingType
NZJE ,DARGAVILLE HOSPITAL ,HP ,None,355544S,1735232E,"[355544S, 1735232E]",NTL,IFR-VFR,Dargaville Hospital,,Heliport
,DRURY GLIDER  ,AD ,None Charted Only,370547.2S,1745831.8E,"[370547.2S, 1745831.8E]",,,Drury Glider,,
NZDN ,DUNEDIN ,AD ,Part 139,455541S,1701154E,"[455541S, 1701154E]",INTL-NTL,IFR-VFR,Dunedin,,0
NZDC ,DUNEDIN CITY ,HP ,None,455300.0S,1703030.0E,"[455300.0S, 1703030.0E]",NTL,VFR,Dunedin City,,Heliport
NZDH ,DUNEDIN HOSPITAL ,HP ,None,455207.0S,1703038.0E,"[455207.0S, 1703038.0E]",NTL,VFR,Dunedin Hospital,,Heliport
NZEV ,EVES VALLEY ,HP ,None,412023S,1730439E,"[412023S, 1730439E]",NTL,VFR,Eves Valley,,Heliport
NZFI ,FEILDING ,AD ,None,401521.34S,1753621.31E,"[401521.34S, 1753621.31E]",NTL,VFR,Feilding,,0
NZFG ,FERN GULLY ,HP ,None,465342S,1680642E,"[465342S, 1680642E]",NTL,VFR,Fern Gully,,Heliport
NZFE ,FERNSIDE FIELDS ,AD ,None,431903S,1723042E,"[431903S, 1723042E]",NTL,VFR,Fernside Fields,,0
NZFL ,FLAT HILLS ,AD ,None,395344.00S,1753912.00E,"[395344.00S, 1753912.00E]",NTL,VFR,Flat Hills,,0
NZFT ,FLAT POINT ,AD ,None,411435.0S,1755737.0E,"[411435.0S, 1755737.0E]",NTL,VFR,Flat Point,,0
NZFF ,FOREST FIELD ,AD ,None,432309.0S,1722138.0E,"[432309.0S, 1722138.0E]",NTL,VFR,Forest Field,,0
NZFH ,FOX ,HP ,None,432747.0S,1695959.0E,"[432747.0S, 1695959.0E]",NTL,VFR,Fox,,Heliport
NZFP ,FOXPINE ,AD ,None,402724.0S,1751613.0E,"[402724.0S, 1751613.0E]",NTL,VFR,Foxpine,,0
NZFJ ,FRANZ JOSEF ,AD ,None,432147.0S,1700804.0E,"[432147.0S, 1700804.0E]",NTL,VFR,Franz Josef,,0
NZFR ,FRANZ JOSEF HELIPORT ,HP ,None,432235S,1701137E,"[432235S, 1701137E]",NTL,VFR,Franz Josef Heliport,,Heliport
NZGA ,GALATEA ,AD ,None,382431.0S,1764431.0E,"[382431.0S, 1764431.0E]",NTL,VFR,Galatea,,0
NZGI ,GARDEN CITY ,HP ,None,432936.0S,1723254.0E,"[432936.0S, 1723254.0E]",NTL,VFR,Garden City,,Heliport
